entity,iso_code,date,indicator,value
United States,USA,12/07/2021,Weekly new hospital admissions,18721
United States,USA,12/07/2021,Weekly new hospital admissions per million,55.34
United States,USA,13/07/2021,Daily ICU occupancy,5072
United States,USA,13/07/2021,Daily ICU occupancy per million,14.993
United States,USA,13/07/2021,Daily hospital occupancy,18204
United States,USA,13/07/2021,Daily hospital occupancy per million,53.812
United States,USA,13/07/2021,Weekly new hospital admissions,19729
United States,USA,13/07/2021,Weekly new hospital admissions per million,58.32
United States,USA,14/07/2021,Daily ICU occupancy,5255
United States,USA,14/07/2021,Daily ICU occupancy per million,15.534
United States,USA,14/07/2021,Daily hospital occupancy,19085
United States,USA,14/07/2021,Daily hospital occupancy per million,56.416
United States,USA,14/07/2021,Weekly new hospital admissions,20339
United States,USA,14/07/2021,Weekly new hospital admissions per million,60.123
United States,USA,15/07/2021,Daily ICU occupancy,5474
United States,USA,15/07/2021,Daily ICU occupancy per million,16.181
United States,USA,15/07/2021,Daily hospital occupancy,19915
United States,USA,15/07/2021,Daily hospital occupancy per million,58.87
United States,USA,15/07/2021,Weekly new hospital admissions,21142
United States,USA,15/07/2021,Weekly new hospital admissions per million,62.497
United States,USA,16/07/2021,Daily ICU occupancy,5785
United States,USA,16/07/2021,Daily ICU occupancy per million,17.101
United States,USA,16/07/2021,Daily hospital occupancy,20874
United States,USA,16/07/2021,Daily hospital occupancy per million,61.704
United States,USA,16/07/2021,Weekly new hospital admissions,22095
United States,USA,16/07/2021,Weekly new hospital admissions per million,65.314
United States,USA,17/07/2021,Daily ICU occupancy,5994
United States,USA,17/07/2021,Daily ICU occupancy per million,17.719
United States,USA,17/07/2021,Daily hospital occupancy,21595
United States,USA,17/07/2021,Daily hospital occupancy per million,63.836
United States,USA,17/07/2021,Weekly new hospital admissions,23083
United States,USA,17/07/2021,Weekly new hospital admissions per million,68.234
United States,USA,18/07/2021,Daily ICU occupancy,6272
United States,USA,18/07/2021,Daily ICU occupancy per million,18.54
